EXAM_ID	BATCH	LEVEL
01-npi-test-A1.mp3	NPI/sample-2023_02_28	A1
02-npi-test-A2.mp3	NPI/sample-2023_02_28	A2
10-npi-test-A2.mp3	NPI/sample-2023_06_30	A2
11-npi-test-A2.mp3	NPI/sample-2023_06_30	A2
12-npi-test-A2.mp3	NPI/sample-2023_06_30	A2
13-npi-test-bA2.mp3	NPI/sample-2023_06_30	A2
14-npi-test-uA2.mp3	NPI/sample-2023_06_30	A2
C1ML_221214_01_anonym_audio.mp3	UJOP/CCE-C1_2024_09_23	C1
C1ML_221214_02_anonym_audio.mp3	UJOP/CCE-C1_2024_09_23	C1
C1ML_221214_04_anonym_audio.mp3	UJOP/CCE-C1_2024_09_23	C1
C1ML_221214_05_anonym_audio.mp3	UJOP/CCE-C1_2024_09_23	C1
C1ML_221214_06_anonym_audio.mp3	UJOP/CCE-C1_2024_09_23	C1
C1ML_221214_07_anonym_audio.mp3	UJOP/CCE-C1_2024_09_23	C1
03-npi-test-A2.mp3	UJOP/sample-2023_02_28	A2
04-npi-test-B1.mp3	UJOP/sample-2023_02_28	B1
05-npi-test-B2.mp3	UJOP/sample-2023_02_28	B2
06-npi-test-A1.mp3	UJOP/sample-2023_04_21	A1
07-npi-test-B1.mp3	UJOP/sample-2023_04_21	B1
08-npi-test-C1.mp3	UJOP/sample-2023_04_21	C1
09-npi-test-A2.mp3	UJOP/sample-2023_04_21	A2
